title,summary,categories
"권익위, 부패·공익신고 보상 확대. 수입회복액 30%·30억 상한 폐지 추진","부패방지권익위법·공익신고자보호법 시행령 등 개정안 입법예고 신고 유형별 보상기준 통일. 다음달 24일까지 의견 수렴 (서울=뉴스1) 국민권익위원회가 부패·공익신고자에 대한 보상을 대폭 확대하기 위해 수입회복액의 30%를 보상금으로 지급하고, 부패신고 등에 적용되는 보상금 30억 원 지급 상한을 폐지하는 방안을 추진한다.",정치
소비기한 지난 제품 보관. 급식시설 19곳 적발,"식약처, 사회복지시설·산후조리원 등 5천730곳 점검 소비기한이 지난 제품을 보관하거나 조리장 위생이 불량한 급식시설 19곳이 규제 당국에 적발됐다. 식품의약품안전처는 사회복지시설과 산후조리원 급식시설 5천730곳을 점검한 결과 식품위생법을 위반한 19곳을 적발하고 관할 관청에 행정처분을 요청했다고 14일 밝혔다.",사회/세계|라이프
"홍기원 의원, 검찰 보완 수사권 일부 남기는 형사소송법 개정안 발의","홍기원 의원, 검찰 보완 수사권 일부 남기는 형사소송법 개정안 발의 더불어민주당 홍기원 의원이 14일 국회 의안과에서 민주당이 추진 중인 형사소송법안에 검찰의 보완 수사권 일부를 남겨 두는 형사소송법 개정안 발의안을 제출하고 있다. 2026.7.14.",정치
"정점식 ""與, 상임위 독식 원하면 국회법 개정해 다 가져가라""","""레버리지 ETF 참사 주범 김용범 해임하고 경제라인 재정비해야"" 이정현 국민의힘 정점식 원내대표는 14일 더불어민주당의 국회 원구성 완료 압박과 관련, ""18개 상임위를 다 가져가야만 직성이 풀린다면 다 가져가라""라고 말했다. 정 원내대표는 이날 국회에서 열린 원내대책회의에서 ""대신 아예 원내 제1당이 18개 상임위원장직을 독식한다고 국회법을 단독 개정하고 가져가라.",정치
與 이성윤 최고위원직 사퇴 “선호투표제 당규 개정 용납 못해”,더불어민주당 이성윤 최고위원이 14일 최고위원직 사퇴 의사를 밝혔다. 이 최고위원은 이날 비공개 최고위원회를 마친 뒤 기자들과 만나 “선호투표제가 가능할 수 있도록 하는 당규 개정안에 대해 수도 없이 반대했다”며 “전준위는 오히려 당헌당규 위반되지 않는다는 결정을 해서 올렸다”고 했다.,정치
"李대통령, 15일부터 ‘국민과 함께하는 2차 업무보고’. 경쟁률 ‘6.3대 1’","19부 6처 18청 7위원회·140개 공공기관 대상 15일 재경부·국가데이터처·금융위·기획처 16일 과기부·방미통위·개보위·국토부·농림부 등 국민참여단 매회 20명·총 200명 현장 참석 이재명 대통령은 15일부터 19부 6처 18청 7위원회·140개 공공기관을 대상으로 ‘국민과 함께하는 2차 업무보고’를 받는다. 이번 업무보고에 참여하는 국민은 총 200명으로, 6.3대 1의 경쟁률을 뚫고 현장에 참석하게 됐다.",정치
"文 前대통령 ‘사위 취업 뇌물혐의’ 재판, 6개월만에 오늘 재개",뇌물 혐의로 기소된 문재인 전 대통령의 재판이 14일 6개월 만에 재개된다. 서울중앙지법 형사합의21부(부장판사 조순표)는 이날 오후 2시 특정범죄가중처벌 등에 관한 법률 위반(뇌물) 혐의를 받는 문 전 대통령과 뇌물공여 등 혐의를 받는 이상직 전 국회의원의 5번째 공판준비기일을 진행한다.,정치
"정청래 ""당헌·당규 개정없이 선호투표 적용시 무효소송 인용 가능성 커""","14일 김어준의 뉴스공장 출연 ""청년최고위원, 당헌·당규상 근거 하나도 없어"" 더불어민주당 당대표 선거에 출마한 정청래 전 대표가 당헌·당규를 개정하지 않고 선호투표제를 적용시 추후 법원에서 무효 판단받을 가능성이 높다고 14일 말했다. 정 전 대표는 유튜브 채널 ‘김어준의 뉴스공장’에 출연해 이같이 말했다.",정치
여성단체들이 '검찰 보완수사권 완전 폐지' 반대하는 이유,"6개 여성단체, 김남희·김동아·손솔 의원 등과 '여당발 형소법 개정안'에 우려 표시 기자회견에 함께 한 여성단체 활동가들은 현장에서 실제로 발생하는 우려의 목소리들을 전했다. 국회 법제사법위원회 소속인 김남희·김동아 민주당 의원은 13일 손솔 진보당 의원과 한국성폭력상담소·한국여성의전화·한국여성민우회·한국여성노동자회 등 6개 여성단체와 함께 국회 소통관에서 '형사소송법 개정, 피해자에게 개악이면 안 된다'라는 회견을 열었다.",정치
"한동훈 ""법무부·특검에 '장기 출국금지' 이유 정보공개 청구""","한동훈 무소속 의원이 장기간 출국금지 이유에 대해 정부를 상대로 정보공개를 청구하겠다고 밝혔습니다. 한 의원은 오늘(14일) SNS에 ""민주당 정치특검과 정성호 법무부는 저를 장기간 출국금지한 이유를 밝히지 못하고 있다""며 ""도대체 무슨 이유로 선거를 앞두고 장기간 출국금지 당했는지 법무부와 특검을 상대로 공공기관의 정보공개에 관한 법률 제10조에 따른 정보공개를 청구하겠다""고 말했습니다.",정치
